Label	Type	ID	Database	Comment
Hdac2	GeneProduct	84577	Entrez Gene	HDAC2; histone deacetylase 2
Mapk9	GeneProduct	50658	Entrez Gene	
ERCC2	GeneProduct	308415	Entrez Gene	
Taf7	GeneProduct	307485	Entrez Gene	
Taf13	GeneProduct	310784	Entrez Gene	
Sin3a	GeneProduct	363067	Entrez Gene	
Mapk1	GeneProduct	ENSRNOG00000001849	Ensembl	
Estradiol	Metabolite	HMDB0000151	HMDB	
Mnat1	GeneProduct	266713	Entrez Gene	
Ccnd1	GeneProduct	58919	Entrez Gene	
Gtf2b	GeneProduct	81673	Entrez Gene	
Bcl2	GeneProduct	24224	Entrez Gene	
Polr2i	GeneProduct	292778	Entrez Gene	
Hdac3	GeneProduct	84578	Entrez Gene	HDAC3; histone deacetylase 3
Ercc3	GeneProduct	291703	Entrez Gene	
Esr1	GeneProduct	24890	Entrez Gene	
Creb1	GeneProduct	81646	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
PI3K	GeneProduct			
Esr1	GeneProduct	24890	Entrez Gene	
Ep300	GeneProduct	170915	Entrez Gene	
Ikbkb	GeneProduct	ENSRNOG00000019073	Ensembl	
Esr1	GeneProduct	24890	Entrez Gene	
N-CoR	GeneProduct			
POLR2H	GeneProduct	498109	Entrez Gene	
Polr2b	GeneProduct	289561	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
Estradiol	Metabolite	HMDB0000151	HMDB	
Esr1	GeneProduct	24890	Entrez Gene	
Prkaca	GeneProduct	25636	Entrez Gene	
Polr2c	GeneProduct	361365	Entrez Gene	
TAF12	GeneProduct	682902	Entrez Gene	
Cdk7	GeneProduct	171150	Entrez Gene	
Jun	GeneProduct	24516	Entrez Gene	
GSA	GeneProduct			
Hdac7	GeneProduct	84582	Entrez Gene	HDAC7A; histone deacetylase 7
Brca1	GeneProduct	497672	Entrez Gene	
Akt1	GeneProduct	24185	Entrez Gene	
Gtf2e1	GeneProduct	303918	Entrez Gene	
Hdac6	GeneProduct	84581	Entrez Gene	HDAC6; histone deacetylase 6
Taf9	GeneProduct	373541	Entrez Gene	
Polr2e	GeneProduct	690966	Entrez Gene	
Gtf2h4	GeneProduct	294236	Entrez Gene	
Gtf2h1	GeneProduct	361580	Entrez Gene	
Gnb1	GeneProduct	24400	Entrez Gene	
Gtf2a2	GeneProduct	83828	Entrez Gene	
Gtf2e2	GeneProduct	306516	Entrez Gene	
Src	GeneProduct	83805	Entrez Gene	
Bcl2	GeneProduct	24224	Entrez Gene	
LOC367858	GeneProduct	ENSRNOG00000016611	Ensembl	
Gtf2f2	GeneProduct	81674	Entrez Gene	
Ikbkg	GeneProduct	ENSRNOG00000037237	Ensembl	
Creb1	GeneProduct	81646	Entrez Gene	
Esr1	GeneProduct	24890	Entrez Gene	
Esr1	GeneProduct	24890	Entrez Gene	
Polr2j	GeneProduct	288588	Entrez Gene	
Sos1	GeneProduct	313845	Entrez Gene	
Braf	GeneProduct	114486	Entrez Gene	
Map2k1	GeneProduct	ENSRNOG00000010176	Ensembl	
Estradiol	Metabolite	HMDB0000151	HMDB	
Esr1	GeneProduct	24890	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
Mapk14	GeneProduct	81649	Entrez Gene	
Nfkb1	GeneProduct	81736	Entrez Gene	
Elk1	GeneProduct	314436	Entrez Gene	
Nfkb1	GeneProduct	81736	Entrez Gene	
Shc2	GeneProduct	314612	Entrez Gene	
Hdac1	GeneProduct	297893	Entrez Gene	HDAC1; histone deacetylase 1
Taf6	GeneProduct	288533	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
Tbp	GeneProduct	117526	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
Gtf2a2	GeneProduct	83828	Entrez Gene	
POLR2K	GeneProduct	309224	Entrez Gene	
Crebbp	GeneProduct	54244	Entrez Gene	
Gper	GeneProduct	171104	Entrez Gene	
Fos	GeneProduct	314322	Entrez Gene	
Estradiol	Metabolite	HMDB0000151	HMDB	
Polr2f	GeneProduct	83503	Entrez Gene	
Grb2	GeneProduct	81504	Entrez Gene	
Ilk	GeneProduct	170922	Entrez Gene	
Gtf2h2	GeneProduct	294693	Entrez Gene	
Taf5	GeneProduct	294018	Entrez Gene	
Esr1	GeneProduct	24890	Entrez Gene	
Cyclic AMP	Metabolite	HMDB0000058	HMDB	
Gngt1	GeneProduct	680149	Entrez Gene	
Polr2g	GeneProduct	117017	Entrez Gene	
HDAC5	GeneProduct	84580	Entrez Gene	HDAC5; histone deacetylase 5
Esr1	GeneProduct	24890	Entrez Gene	
Hdac8	GeneProduct	363481	Entrez Gene	HDAC8; histone deacetylase
Tbp	GeneProduct	117526	Entrez Gene	
Hdac4	GeneProduct	363287	Entrez Gene	HDAC4; histone deacetylase 4
Gtf2h3	GeneProduct	288651	Entrez Gene	
Polr2a	GeneProduct	363633	Entrez Gene	
Ccnh	GeneProduct	84389	Entrez Gene	
Sp1	GeneProduct	24790	Entrez Gene	
NP_001101058.1	GeneProduct	ENSRNOG00000022485	Ensembl	
