Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Il1b	GeneProduct	ncbigene:24494		ensembl:ENSRNOG00000004649	ncbigene:24494		uniprot:Q5BKB0			
Il1rn	GeneProduct	ncbigene:60582		ensembl:ENSRNOG00000005871	ncbigene:60582		uniprot:A0A0H2UHE2			
Il1rap	GeneProduct	ncbigene:25466		ensembl:ENSRNOG00000001928	ncbigene:25466		uniprot:F1M9B9;uniprot:D1M8S3			
Il1r1	GeneProduct	ncbigene:25663		ensembl:ENSRNOG00000014504	ncbigene:25663		uniprot:A0A0G2K2H8;uniprot:A0A0G2K6N4;uniprot:Q05KR1;uniprot:Q05KR0;uniprot:Q62692			
Il1a	GeneProduct	ncbigene:24493		ensembl:ENSRNOG00000004575	ncbigene:24493		uniprot:F1LQB1;uniprot:P16598;uniprot:F1MAF9;uniprot:A0A0G2K003;uniprot:Q9ESW2			
Il1b	GeneProduct	ncbigene:24494		ensembl:ENSRNOG00000004649	ncbigene:24494		uniprot:Q5BKB0			
Il1rn	GeneProduct	ncbigene:60582		ensembl:ENSRNOG00000005871	ncbigene:60582		uniprot:A0A0H2UHE2			
Il1r2	GeneProduct	ncbigene:117022		ensembl:ENSRNOG00000014378	ncbigene:117022		uniprot:A0A0H2UHL7			
Il1r2	GeneProduct	ncbigene:117022		ensembl:ENSRNOG00000014378	ncbigene:117022		uniprot:A0A0H2UHL7			
Il1rap	GeneProduct	ncbigene:25466		ensembl:ENSRNOG00000001928	ncbigene:25466		uniprot:F1M9B9;uniprot:D1M8S3			
Il1r2	GeneProduct	ncbigene:117022		ensembl:ENSRNOG00000014378	ncbigene:117022		uniprot:A0A0H2UHL7			
Myd88	GeneProduct	ncbigene:301059								
Il1r1	GeneProduct	ncbigene:25663		ensembl:ENSRNOG00000014504	ncbigene:25663		uniprot:A0A0G2K2H8;uniprot:A0A0G2K6N4;uniprot:Q05KR1;uniprot:Q05KR0;uniprot:Q62692			
Il1r1	GeneProduct	ncbigene:25663		ensembl:ENSRNOG00000014504	ncbigene:25663		uniprot:A0A0G2K2H8;uniprot:A0A0G2K6N4;uniprot:Q05KR1;uniprot:Q05KR0;uniprot:Q62692			
IRAK4	GeneProduct	ncbigene:300177		ensembl:ENSRNOG00000005965	ncbigene:300177		uniprot:D4A7K4			
IRAK3	GeneProduct	ncbigene:314870		ensembl:ENSRNOG00000004226	ncbigene:314870		uniprot:B2RYC8			
