Label	Type	ID	Database	
FZD6	GeneProduct	ENSG00000164930	Ensembl
AKT3	GeneProduct	ENSG00000117020	Ensembl
DVL3	GeneProduct	ENSG00000161202	Ensembl
ACTR2	GeneProduct	ENSG00000138071	Ensembl
SMAD1	GeneProduct	ENSG00000170365	Ensembl
GSK3B	GeneProduct	ENSG00000082701	Ensembl
SMAD5	GeneProduct	ENSG00000113658	Ensembl
Myc	GeneProduct		
HRAS	GeneProduct	ENSG00000174775	Ensembl
BMPR1A	GeneProduct	ENSG00000107779	Ensembl
BRAF	GeneProduct	ENSG00000157764	Ensembl
PDGFA	GeneProduct	ENSG00000197461	Ensembl
WNT3	GeneProduct	ENSG00000108379	Ensembl
FGF1	GeneProduct	ENSG00000113578	Ensembl
SMAD7	GeneProduct	ENSG00000101665	Ensembl
WNT5B	GeneProduct	ENSG00000111186	Ensembl
FGF16	GeneProduct	ENSG00000196468	Ensembl
PDGFB	GeneProduct	ENSG00000100311	Ensembl
FGF6	GeneProduct	ENSG00000111241	Ensembl
FGF19	GeneProduct	ENSG00000162344	Ensembl
ACVR1	GeneProduct	ENSG00000115170	Ensembl
FGFR1	GeneProduct	ENSG00000077782	Ensembl
MAP2K1	GeneProduct	ENSG00000169032	Ensembl
Ca2+	Metabolite	HMDB0000464	HMDB
CTNNB1	GeneProduct	ENSG00000168036	Ensembl
FZD4	GeneProduct	ENSG00000174804	Ensembl
PIP2	Metabolite	Q27088398	Wikidata
FGF22	GeneProduct	ENSG00000070388	Ensembl
DVL1	GeneProduct	ENSG00000107404	Ensembl
PIP2	Metabolite	Q27088398	Wikidata
JAK1	GeneProduct	ENSG00000162434	Ensembl
BMPR2	GeneProduct	ENSG00000204217	Ensembl
JUN	GeneProduct	ENSG00000177606	Ensembl
FGF10	GeneProduct	ENSG00000070193	Ensembl
PIK3CD	GeneProduct	ENSG00000171608	Ensembl
FGF9	GeneProduct	ENSG00000102678	Ensembl
FZD8	GeneProduct	ENSG00000177283	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
SOS1	GeneProduct	ENSG00000115904	Ensembl
FGF20	GeneProduct	ENSG00000078579	Ensembl
AKT2	GeneProduct	ENSG00000105221	Ensembl
RAF1	GeneProduct	ENSG00000132155	Ensembl
GDP	Metabolite	HMDB0000960	HMDB
FGF11	GeneProduct	ENSG00000161958	Ensembl
WNT7A	GeneProduct	ENSG00000154764	Ensembl
FZD9	GeneProduct	ENSG00000188763	Ensembl
SMAD1	GeneProduct	ENSG00000170365	Ensembl
IL6ST	GeneProduct	ENSG00000134352	Ensembl
FGFR3	GeneProduct	ENSG00000068078	Ensembl
WNT5A	GeneProduct	ENSG00000114251	Ensembl
MAPK7	GeneProduct	ENSG00000166484	Ensembl
FZD2	GeneProduct	ENSG00000180340	Ensembl
FGF17	GeneProduct	ENSG00000158815	Ensembl
SMAD5	GeneProduct	ENSG00000113658	Ensembl
FZD5	GeneProduct	ENSG00000163251	Ensembl
WNT16	GeneProduct	ENSG00000002745	Ensembl
FGF18	GeneProduct	ENSG00000156427	Ensembl
FZD7	GeneProduct	ENSG00000155760	Ensembl
FZD1	GeneProduct	ENSG00000157240	Ensembl
EGFR	GeneProduct	ENSG00000146648	Ensembl
MDM2	GeneProduct	ENSG00000135679	Ensembl
WNT10A	GeneProduct	ENSG00000135925	Ensembl
actr2b	GeneProduct		
FGFR4	GeneProduct	ENSG00000160867	Ensembl
FGFR2	GeneProduct	ENSG00000066468	Ensembl
PDGFRA	GeneProduct	ENSG00000134853	Ensembl
MAPK1	GeneProduct	ENSG00000100030	Ensembl
SMAD5	GeneProduct	ENSG00000113658	Ensembl
NOG	GeneProduct	ENSG00000183691	Ensembl
Dorsomorphin	Metabolite	CHEBI:78510	ChEBI
ARAF	GeneProduct	ENSG00000078061	Ensembl
MTOR	GeneProduct	ENSG00000198793	Ensembl
SMAD4	GeneProduct	ENSG00000141646	Ensembl
STAT3	GeneProduct	ENSG00000168610	Ensembl
WNT7B	GeneProduct	ENSG00000188064	Ensembl
SMAD9	GeneProduct	ENSG00000120693	Ensembl
