Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Vasopressin	Metabolite	hmdb:HMDB01980	Ch:HMDB01980:T						wikidata:Q60496436		inchikey:BJFIDCADFRDPIO-ZCCHBGLBSA-N
Vasopressin	Metabolite	hmdb:HMDB01980	Ch:HMDB01980:T						wikidata:Q60496436		inchikey:BJFIDCADFRDPIO-ZCCHBGLBSA-N
Vasopressin	Metabolite	hmdb:HMDB01980	Ch:HMDB01980:T						wikidata:Q60496436		inchikey:BJFIDCADFRDPIO-ZCCHBGLBSA-N
sACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
ADAM17	GeneProduct	ensembl:ENSG00000151694	En:ENSG00000151694:T								
AGTR1	GeneProduct	ensembl:ENSG00000144891	En:ENSG00000144891:T								
AVPR1B	GeneProduct	ensembl:ENSG00000198049	En:ENSG00000198049:T								
ACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
sACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
sACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
sACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
sACE2	GeneProduct	ensembl:ENSG00000130234	En:ENSG00000130234:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
S1	Protein	wikidata:Q106020256	Wd:Q106020256:T								
