Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Cholesterol ester	Metabolite	chebi:XXL-VLDL-CE	"Cholesterol esters in chylomicrons and extremely large VLDL"												
Triglyceride	Metabolite	chebi:XXL-VLDL-TG	"Triglycerides in chylomicrons and extremely large VLDL"												
Phospholipid	Metabolite	chebi:XXL-VLDL-PL	"Phospholipids in chylomicrons and extremely large VLDL"												
Free cholesterol	Metabolite	chebi:XXL-VLDL-FC	"Free cholesterol in chylomicrons and extremely large VLDL"												
Cholesterol ester	Metabolite	chebi:XL-VLDL-CE	"Cholesterol esters in very large VLDL"												
Triglyceride	Metabolite	chebi:XL-VLDL-TG	"Triglycerides in very large VLDL"												
Phospholipid	Metabolite	chebi:XL-VLDL-PL	"Phospholipids in very large VLDL"												
Free cholesterol	Metabolite	chebi:XL-VLDL-FC	"Free cholesterol in very large VLDL"												
Cholesterol ester	Metabolite	chebi:IDL-CE	"Cholesterol esters in IDL"												
Triglyceride	Metabolite	chebi:IDL-TG	"Triglycerides in IDL"												
Phospholipid	Metabolite	chebi:IDL-PL	"Phospholipids in IDL"												
Free cholesterol	Metabolite	chebi:IDL-FC	"Free cholesterol in IDL"												
Cholesterol ester	Metabolite	chebi:L-VLDL-CE	"Cholesterol esters in large VLDL"												
Triglyceride	Metabolite	chebi:L-VLDL-TG	"Triglycerides in large VLDL"												
Phospholipid	Metabolite	chebi:L-VLDL-PL	"Phospholipids in large VLDL"												
Free cholesterol	Metabolite	chebi:L-VLDL-FC	"Free cholesterol in large VLDL"												
Cholesterol ester	Metabolite	chebi:M-VLDL-CE	"Cholesterol esters in mdeium VLDL"												
Triglyceride	Metabolite	chebi:M-VLDL-TG	"Triglycerides in medium VLDL"												
Phospholipid	Metabolite	chebi:M-VLDL-PL	"Phospholipids in medium VLDL"												
Free cholesterol	Metabolite	chebi:M-VLDL-FC	"Free cholesterol in medium VLDL"												
Cholesterol ester	Metabolite	chebi:S-VLDL-CE	"Cholesterol esters in small VLDL"												
Triglyceride	Metabolite	chebi:S-VLDL-TG	"Triglycerides in small VLDL"												
Phospholipid	Metabolite	chebi:S-VLDL-PL	"Phospholipids in small VLDL"												
Free cholesterol	Metabolite	chebi:S-VLDL-FC	"Free cholesterol in small VLDL"												
Cholesterol ester	Metabolite	chebi:XS-VLDL-CE	"Cholesterol esters in very small VLDL"												
Triglyceride	Metabolite	chebi:XS-VLDL-TG	"Triglycerides in very small VLDL"												
Phospholipid	Metabolite	chebi:XS-VLDL-PL	"Phospholipids in very small VLDL"												
Free cholesterol	Metabolite	chebi:XS-VLDL-FC	"Free cholesterol in very small VLDL"												
Cholesterol ester	Metabolite	chebi:L-LDL-CE	"Cholesterol esters in large LDL"												
Triglyceride	Metabolite	chebi:L-LDL-TG	"Triglycerides in large LDL"												
Phospholipid	Metabolite	chebi:L-LDL-PL	"Phospholipids in large LDL"												
Free cholesterol	Metabolite	chebi:L-LDL-FC	"Free cholesterol in large LDL"												
Cholesterol ester	Metabolite	chebi:M-LDL-CE	"Cholesterol esters in medium LDL"												
Triglyceride	Metabolite	chebi:M-LDL-TG	"Triglycerides in medium LDL"												
Phospholipid	Metabolite	chebi:M-LDL-PL	"Phospholipids in medium LDL"												
Free cholesterol	Metabolite	chebi:M-LDL-FC	"Free cholesterol in medium LDL"												
Cholesterol ester	Metabolite	chebi:S-LDL-CE	"Cholesterol esters in small LDL"												
Triglyceride	Metabolite	chebi:S-LDL-TG	"Triglycerides in small LDL"												
Phospholipid	Metabolite	chebi:S-LDL-PL	"Phospholipids in small LDL"												
Free cholesterol	Metabolite	chebi:S-LDL-FC	"Free cholesterol in small LDL"												
Cholesterol ester	Metabolite	chebi:S-HDL-CE	"Cholesterol esters in small HDL"												
Triglyceride	Metabolite	chebi:S-HDL-TG	"Triglycerides in small HDL"												
Phospholipid	Metabolite	chebi:S-HDL-PL	"Phospholipids in small HDL"												
Free cholesterol	Metabolite	chebi:S-HDL-FC	"Free cholesterol in very large HDL"												
Cholesterol ester	Metabolite	chebi:M-HDL-CE	"Cholesterol esters in medium HDL"												
Triglyceride	Metabolite	chebi:M-HDL-TG	"Triglycerides in mediumHDL"												
Phospholipid	Metabolite	chebi:M-HDL-PL	"Phospholipids in medium HDL"												
